source,driving
id10280#NXjT3732Ekg#00001.txt#000.mp4/0000058.png,id10280#NXjT3732Ekg#00001.txt#000.mp4/0000053.png
id10280#NXjT3732Ekg#00001.txt#000.mp4/0000072.png,id10280#NXjT3732Ekg#00001.txt#000.mp4/0000000.png
id10280#NXjT3732Ekg#00001.txt#000.mp4/0000054.png,id10280#NXjT3732Ekg#00001.txt#000.mp4/0000024.png
id10280#NXjT3732Ekg#00001.txt#000.mp4/0000004.png,id10280#NXjT3732Ekg#00001.txt#000.mp4/0000026.png
id10280#XiKRlssBw2M#00001.txt#000.mp4/0000492.png,id10280#XiKRlssBw2M#00001.txt#000.mp4/0000320.png
id10280#XiKRlssBw2M#00001.txt#000.mp4/0000242.png,id10280#XiKRlssBw2M#00001.txt#000.mp4/0000334.png
id10280#XiKRlssBw2M#00001.txt#000.mp4/0000579.png,id10280#XiKRlssBw2M#00001.txt#000.mp4/0000109.png
id10280#XiKRlssBw2M#00001.txt#000.mp4/0000115.png,id10280#XiKRlssBw2M#00001.txt#000.mp4/0000169.png
id10280#XiKRlssBw2M#00002.txt#000.mp4/0000453.png,id10280#XiKRlssBw2M#00002.txt#000.mp4/0000300.png
id10280#XiKRlssBw2M#00002.txt#000.mp4/0000313.png,id10280#XiKRlssBw2M#00002.txt#000.mp4/0000389.png
id10280#XiKRlssBw2M#00002.txt#000.mp4/0000256.png,id10280#XiKRlssBw2M#00002.txt#000.mp4/0000404.png
id10280#XiKRlssBw2M#00002.txt#000.mp4/0000386.png,id10280#XiKRlssBw2M#00002.txt#000.mp4/0000361.png
id10280#XiKRlssBw2M#00003.txt#000.mp4/0000292.png,id10280#XiKRlssBw2M#00003.txt#000.mp4/0000013.png
id10280#XiKRlssBw2M#00003.txt#000.mp4/0000257.png,id10280#XiKRlssBw2M#00003.txt#000.mp4/0000318.png
id10280#XiKRlssBw2M#00003.txt#000.mp4/0000375.png,id10280#XiKRlssBw2M#00003.txt#000.mp4/0000195.png
id10280#XiKRlssBw2M#00003.txt#000.mp4/0000060.png,id10280#XiKRlssBw2M#00003.txt#000.mp4/0000307.png
id10280#XiKRlssBw2M#00004.txt#000.mp4/0000291.png,id10280#XiKRlssBw2M#00004.txt#000.mp4/0000087.png
id10280#XiKRlssBw2M#00004.txt#000.mp4/0000336.png,id10280#XiKRlssBw2M#00004.txt#000.mp4/0000013.png
id10280#XiKRlssBw2M#00004.txt#000.mp4/0000091.png,id10280#XiKRlssBw2M#00004.txt#000.mp4/0000012.png
id10280#XiKRlssBw2M#00004.txt#000.mp4/0000359.png,id10280#XiKRlssBw2M#00004.txt#000.mp4/0000122.png
id10281#1CiBWgsHT4E#00010.txt#000.mp4/0000008.png,id10281#1CiBWgsHT4E#00010.txt#000.mp4/0000136.png
id10281#1CiBWgsHT4E#00010.txt#000.mp4/0000161.png,id10281#1CiBWgsHT4E#00010.txt#000.mp4/0000101.png
id10281#1CiBWgsHT4E#00010.txt#000.mp4/0000037.png,id10281#1CiBWgsHT4E#00010.txt#000.mp4/0000219.png
id10281#1CiBWgsHT4E#00010.txt#000.mp4/0000033.png,id10281#1CiBWgsHT4E#00010.txt#000.mp4/0000061.png
id10281#dX8RBKI2FKc#00001.txt#000.mp4/0000114.png,id10281#dX8RBKI2FKc#00001.txt#000.mp4/0000046.png
id10281#dX8RBKI2FKc#00001.txt#000.mp4/0000019.png,id10281#dX8RBKI2FKc#00001.txt#000.mp4/0000087.png
