source,driving,best_frame
/root/autodl-tmp/vox-png/test/id10283#p5g1heXp34o#00008.txt#000.mp4/0000341.png,/root/autodl-tmp/vox-png/test/id10306#ST2JZXcyYkE#00001.txt#000.mp4/0000325.png,/root/autodl-tmp/vox-png/test/id10306#ST2JZXcyYkE#00001.txt#000.mp4/0000215.png
/root/autodl-tmp/vox-png/test/id10281#ni6gO5jDLJE#00008.txt#000.mp4/0000004.png,/root/autodl-tmp/vox-png/test/id10286#isKyMAYUOgg#00007.txt#000.mp4/0000238.png,/root/autodl-tmp/vox-png/test/id10286#isKyMAYUOgg#00007.txt#000.mp4/0000264.png
/root/autodl-tmp/vox-png/test/id10283#j8UugkSTzzk#00002.txt#000.mp4/0000069.png,/root/autodl-tmp/vox-png/test/id10291#98qWWArcL3Y#00002.txt#000.mp4/0000113.png,/root/autodl-tmp/vox-png/test/id10291#98qWWArcL3Y#00002.txt#000.mp4/0000042.png
/root/autodl-tmp/vox-png/test/id10283#r9-0pljhZqs#00003.txt#000.mp4/0000110.png,/root/autodl-tmp/vox-png/test/id10285#bd0jqkNxNdU#00001.txt#000.mp4/0000165.png,/root/autodl-tmp/vox-png/test/id10285#bd0jqkNxNdU#00001.txt#000.mp4/0000196.png
/root/autodl-tmp/vox-png/test/id10283#p5g1heXp34o#00010.txt#000.mp4/0000105.png,/root/autodl-tmp/vox-png/test/id10292#ENIHEvg_VLM#00012.txt#000.mp4/0000067.png,/root/autodl-tmp/vox-png/test/id10292#ENIHEvg_VLM#00012.txt#000.mp4/0000032.png
/root/autodl-tmp/vox-png/test/id10280#XiKRlssBw2M#00001.txt#000.mp4/0000128.png,/root/autodl-tmp/vox-png/test/id10306#ST2JZXcyYkE#00001.txt#000.mp4/0000311.png,/root/autodl-tmp/vox-png/test/id10306#ST2JZXcyYkE#00001.txt#000.mp4/0000399.png
/root/autodl-tmp/vox-png/test/id10281#NHARUN9OhSo#00004.txt#000.mp4/0000308.png,/root/autodl-tmp/vox-png/test/id10292#57KbI2UvGss#00015.txt#000.mp4/0000055.png,/root/autodl-tmp/vox-png/test/id10292#57KbI2UvGss#00015.txt#000.mp4/0000053.png
/root/autodl-tmp/vox-png/test/id10291#uiBjIKX_0l8#00004.txt#000.mp4/0000314.png,/root/autodl-tmp/vox-png/test/id10285#FUqAFZmZJ80#00019.txt#000.mp4/0000062.png,/root/autodl-tmp/vox-png/test/id10285#FUqAFZmZJ80#00019.txt#000.mp4/0000026.png
/root/autodl-tmp/vox-png/test/id10291#TMCTm7GxiDE#00004.txt#000.mp4/0000020.png,/root/autodl-tmp/vox-png/test/id10285#FUqAFZmZJ80#00020.txt#000.mp4/0000176.png,/root/autodl-tmp/vox-png/test/id10285#FUqAFZmZJ80#00020.txt#000.mp4/0000197.png
/root/autodl-tmp/vox-png/test/id10306#ST2JZXcyYkE#00001.txt#000.mp4/0000052.png,/root/autodl-tmp/vox-png/test/id10280#XiKRlssBw2M#00003.txt#000.mp4/0000170.png,/root/autodl-tmp/vox-png/test/id10280#XiKRlssBw2M#00003.txt#000.mp4/0000324.png
/root/autodl-tmp/vox-png/test/id10282#U3xR3MZjEVg#00002.txt#000.mp4/0000000.png,/root/autodl-tmp/vox-png/test/id10289#8l5ZnDf-FUA#00020.txt#000.mp4/0000093.png,/root/autodl-tmp/vox-png/test/id10289#8l5ZnDf-FUA#00020.txt#000.mp4/0000144.png
/root/autodl-tmp/vox-png/test/id10306#ST2JZXcyYkE#00001.txt#000.mp4/0000141.png,/root/autodl-tmp/vox-png/test/id10291#oLJhH76d0kU#00004.txt#000.mp4/0000008.png,/root/autodl-tmp/vox-png/test/id10291#oLJhH76d0kU#00004.txt#000.mp4/0000113.png
/root/autodl-tmp/vox-png/test/id10280#XiKRlssBw2M#00003.txt#000.mp4/0000188.png,/root/autodl-tmp/vox-png/test/id10282#neQO6_CUY4w#00006.txt#000.mp4/0000128.png,/root/autodl-tmp/vox-png/test/id10282#neQO6_CUY4w#00006.txt#000.mp4/0000137.png
/root/autodl-tmp/vox-png/test/id10286#isKyMAYUOgg#00012.txt#000.mp4/0000382.png,/root/autodl-tmp/vox-png/test/id10285#FUqAFZmZJ80#00011.txt#000.mp4/0000033.png,/root/autodl-tmp/vox-png/test/id10285#FUqAFZmZJ80#00011.txt#000.mp4/0000001.png
/root/autodl-tmp/vox-png/test/id10280#XiKRlssBw2M#00003.txt#000.mp4/0000244.png,/root/autodl-tmp/vox-png/test/id10289#GIhCMsZrHF0#00002.txt#000.mp4/0000112.png,/root/autodl-tmp/vox-png/test/id10289#GIhCMsZrHF0#00002.txt#000.mp4/0000120.png
/root/autodl-tmp/vox-png/test/id10283#r9-0pljhZqs#00002.txt#000.mp4/0000018.png,/root/autodl-tmp/vox-png/test/id10289#8l5ZnDf-FUA#00018.txt#000.mp4/0000090.png,/root/autodl-tmp/vox-png/test/id10289#8l5ZnDf-FUA#00018.txt#000.mp4/0000096.png
/root/autodl-tmp/vox-png/test/id10285#FUqAFZmZJ80#00006.txt#000.mp4/0000026.png,/root/autodl-tmp/vox-png/test/id10289#8l5ZnDf-FUA#00018.txt#000.mp4/0000067.png,/root/autodl-tmp/vox-png/test/id10289#8l5ZnDf-FUA#00018.txt#000.mp4/0000095.png
/root/autodl-tmp/vox-png/test/id10283#vaK4t1-WD4M#00036.txt#000.mp4/0000115.png,/root/autodl-tmp/vox-png/test/id10306#ST2JZXcyYkE#00001.txt#000.mp4/0000177.png,/root/autodl-tmp/vox-png/test/id10306#ST2JZXcyYkE#00001.txt#000.mp4/0000346.png
/root/autodl-tmp/vox-png/test/id10290#gTbcgoYXWdU#00005.txt#000.mp4/0000010.png,/root/autodl-tmp/vox-png/test/id10283#uA1E_38TuTw#00005.txt#000.mp4/0000116.png,/root/autodl-tmp/vox-png/test/id10283#uA1E_38TuTw#00005.txt#000.mp4/0000033.png
/root/autodl-tmp/vox-png/test/id10280#XiKRlssBw2M#00003.txt#000.mp4/0000192.png,/root/autodl-tmp/vox-png/test/id10291#iPZGPcrYIZs#00005.txt#000.mp4/0000123.png,/root/autodl-tmp/vox-png/test/id10291#iPZGPcrYIZs#00005.txt#000.mp4/0000209.png
/root/autodl-tmp/vox-png/test/id10291#7lrVxsJOOZ4#00002.txt#000.mp4/0000097.png,/root/autodl-tmp/vox-png/test/id10289#GIhCMsZrHF0#00001.txt#000.mp4/0000030.png,/root/autodl-tmp/vox-png/test/id10289#GIhCMsZrHF0#00001.txt#000.mp4/0000049.png
/root/autodl-tmp/vox-png/test/id10280#NXjT3732Ekg#00001.txt#000.mp4/0000079.png,/root/autodl-tmp/vox-png/test/id10287#bP0bKbQQlzc#00003.txt#000.mp4/0000123.png,/root/autodl-tmp/vox-png/test/id10287#bP0bKbQQlzc#00003.txt#000.mp4/0000006.png
/root/autodl-tmp/vox-png/test/id10285#Zdmm9Mrr8Ts#00004.txt#001.mp4/0000071.png,/root/autodl-tmp/vox-png/test/id10282#Zbz058o9j6s#00002.txt#000.mp4/0000066.png,/root/autodl-tmp/vox-png/test/id10282#Zbz058o9j6s#00002.txt#000.mp4/0000090.png
/root/autodl-tmp/vox-png/test/id10286#mYc2BIS0zWU#00003.txt#000.mp4/0000076.png,/root/autodl-tmp/vox-png/test/id10290#cIi74VD0LF0#00004.txt#000.mp4/0000077.png,/root/autodl-tmp/vox-png/test/id10290#cIi74VD0LF0#00004.txt#000.mp4/0000407.png
/root/autodl-tmp/vox-png/test/id10287#RfDogGJ-UnM#00001.txt#000.mp4/0000079.png,/root/autodl-tmp/vox-png/test/id10290#cIi74VD0LF0#00004.txt#000.mp4/0000164.png,/root/autodl-tmp/vox-png/test/id10290#cIi74VD0LF0#00004.txt#000.mp4/0000241.png
/root/autodl-tmp/vox-png/test/id10289#8l5ZnDf-FUA#00013.txt#001.mp4/0000037.png,/root/autodl-tmp/vox-png/test/id10306#ST2JZXcyYkE#00001.txt#000.mp4/0000092.png,/root/autodl-tmp/vox-png/test/id10306#ST2JZXcyYkE#00001.txt#000.mp4/0000350.png
/root/autodl-tmp/vox-png/test/id10292#ENIHEvg_VLM#00017.txt#000.mp4/0000037.png,/root/autodl-tmp/vox-png/test/id10291#iPZGPcrYIZs#00008.txt#000.mp4/0000187.png,/root/autodl-tmp/vox-png/test/id10291#iPZGPcrYIZs#00008.txt#000.mp4/0000167.png
/root/autodl-tmp/vox-png/test/id10282#qkZNuvX1UNo#00002.txt#000.mp4/0000038.png,/root/autodl-tmp/vox-png/test/id10292#ENIHEvg_VLM#00004.txt#000.mp4/0000134.png,/root/autodl-tmp/vox-png/test/id10292#ENIHEvg_VLM#00004.txt#000.mp4/0000189.png
/root/autodl-tmp/vox-png/test/id10287#bP0bKbQQlzc#00005.txt#000.mp4/0000243.png,/root/autodl-tmp/vox-png/test/id10284#Rzpm9hlXV6I#00001.txt#000.mp4/0000035.png,/root/autodl-tmp/vox-png/test/id10284#Rzpm9hlXV6I#00001.txt#000.mp4/0000137.png
/root/autodl-tmp/vox-png/test/id10284#Rzpm9hlXV6I#00001.txt#000.mp4/0000138.png,/root/autodl-tmp/vox-png/test/id10285#FUqAFZmZJ80#00006.txt#000.mp4/0000174.png,/root/autodl-tmp/vox-png/test/id10285#FUqAFZmZJ80#00006.txt#000.mp4/0000032.png
/root/autodl-tmp/vox-png/test/id10284#Rzpm9hlXV6I#00001.txt#000.mp4/0000042.png,/root/autodl-tmp/vox-png/test/id10286#9K2YB1d8BqY#00018.txt#001.mp4/0000005.png,/root/autodl-tmp/vox-png/test/id10286#9K2YB1d8BqY#00018.txt#001.mp4/0000112.png
/root/autodl-tmp/vox-png/test/id10280#XiKRlssBw2M#00002.txt#000.mp4/0000135.png,/root/autodl-tmp/vox-png/test/id10284#YN4cTBWM-QE#00004.txt#000.mp4/0000562.png,/root/autodl-tmp/vox-png/test/id10284#YN4cTBWM-QE#00004.txt#000.mp4/0000013.png
/root/autodl-tmp/vox-png/test/id10281#ni6gO5jDLJE#00004.txt#000.mp4/0000042.png,/root/autodl-tmp/vox-png/test/id10289#GIhCMsZrHF0#00002.txt#000.mp4/0000100.png,/root/autodl-tmp/vox-png/test/id10289#GIhCMsZrHF0#00002.txt#000.mp4/0000140.png
/root/autodl-tmp/vox-png/test/id10290#cIi74VD0LF0#00009.txt#000.mp4/0000115.png,/root/autodl-tmp/vox-png/test/id10281#ni6gO5jDLJE#00011.txt#000.mp4/0000257.png,/root/autodl-tmp/vox-png/test/id10281#ni6gO5jDLJE#00011.txt#000.mp4/0000281.png
/root/autodl-tmp/vox-png/test/id10287#V0ubcXO71Sg#00001.txt#000.mp4/0000001.png,/root/autodl-tmp/vox-png/test/id10289#3g9CjhcNEWk#00012.txt#000.mp4/0000139.png,/root/autodl-tmp/vox-png/test/id10289#3g9CjhcNEWk#00012.txt#000.mp4/0000001.png
/root/autodl-tmp/vox-png/test/id10281#ni6gO5jDLJE#00013.txt#000.mp4/0000056.png,/root/autodl-tmp/vox-png/test/id10285#m-uILToQ9ss#00006.txt#000.mp4/0000029.png,/root/autodl-tmp/vox-png/test/id10285#m-uILToQ9ss#00006.txt#000.mp4/0000096.png
/root/autodl-tmp/vox-png/test/id10281#FL2UicCNcwI#00001.txt#001.mp4/0000076.png,/root/autodl-tmp/vox-png/test/id10306#ST2JZXcyYkE#00001.txt#000.mp4/0000419.png,/root/autodl-tmp/vox-png/test/id10306#ST2JZXcyYkE#00001.txt#000.mp4/0000340.png
/root/autodl-tmp/vox-png/test/id10282#U3xR3MZjEVg#00011.txt#000.mp4/0000186.png,/root/autodl-tmp/vox-png/test/id10290#gTbcgoYXWdU#00004.txt#000.mp4/0000264.png,/root/autodl-tmp/vox-png/test/id10290#gTbcgoYXWdU#00004.txt#000.mp4/0000197.png
/root/autodl-tmp/vox-png/test/id10281#ni6gO5jDLJE#00009.txt#000.mp4/0000117.png,/root/autodl-tmp/vox-png/test/id10306#ST2JZXcyYkE#00001.txt#000.mp4/0000032.png,/root/autodl-tmp/vox-png/test/id10306#ST2JZXcyYkE#00001.txt#000.mp4/0000215.png
/root/autodl-tmp/vox-png/test/id10284#Uzxv7Axh3Z8#00006.txt#000.mp4/0000159.png,/root/autodl-tmp/vox-png/test/id10306#ST2JZXcyYkE#00001.txt#000.mp4/0000026.png,/root/autodl-tmp/vox-png/test/id10306#ST2JZXcyYkE#00001.txt#000.mp4/0000215.png
/root/autodl-tmp/vox-png/test/id10285#m-uILToQ9ss#00003.txt#000.mp4/0000119.png,/root/autodl-tmp/vox-png/test/id10289#Rn0Z_lIiL1w#00001.txt#000.mp4/0000054.png,/root/autodl-tmp/vox-png/test/id10289#Rn0Z_lIiL1w#00001.txt#000.mp4/0000126.png
/root/autodl-tmp/vox-png/test/id10285#FUqAFZmZJ80#00021.txt#000.mp4/0000081.png,/root/autodl-tmp/vox-png/test/id10282#Zbz058o9j6s#00006.txt#000.mp4/0000053.png,/root/autodl-tmp/vox-png/test/id10282#Zbz058o9j6s#00006.txt#000.mp4/0000025.png
/root/autodl-tmp/vox-png/test/id10289#zFii0ROZZjc#00006.txt#000.mp4/0000170.png,/root/autodl-tmp/vox-png/test/id10281#1CiBWgsHT4E#00010.txt#000.mp4/0000047.png,/root/autodl-tmp/vox-png/test/id10281#1CiBWgsHT4E#00010.txt#000.mp4/0000015.png
/root/autodl-tmp/vox-png/test/id10286#9K2YB1d8BqY#00012.txt#000.mp4/0000159.png,/root/autodl-tmp/vox-png/test/id10291#98qWWArcL3Y#00001.txt#000.mp4/0000121.png,/root/autodl-tmp/vox-png/test/id10291#98qWWArcL3Y#00001.txt#000.mp4/0000265.png
/root/autodl-tmp/vox-png/test/id10291#ibDSPLFJIu0#00001.txt#000.mp4/0000047.png,/root/autodl-tmp/vox-png/test/id10285#FUqAFZmZJ80#00020.txt#000.mp4/0000141.png,/root/autodl-tmp/vox-png/test/id10285#FUqAFZmZJ80#00020.txt#000.mp4/0000193.png
/root/autodl-tmp/vox-png/test/id10281#ni6gO5jDLJE#00004.txt#000.mp4/0000101.png,/root/autodl-tmp/vox-png/test/id10292#57KbI2UvGss#00018.txt#000.mp4/0000032.png,/root/autodl-tmp/vox-png/test/id10292#57KbI2UvGss#00018.txt#000.mp4/0000076.png
/root/autodl-tmp/vox-png/test/id10291#TMCTm7GxiDE#00008.txt#000.mp4/0000058.png,/root/autodl-tmp/vox-png/test/id10290#KacOkTDTi-g#00002.txt#000.mp4/0000142.png,/root/autodl-tmp/vox-png/test/id10290#KacOkTDTi-g#00002.txt#000.mp4/0000188.png
